YEAR,ROUND,WSEED,WTEAM,WSCORE,LSEED,LTEAM,LSCORE,Diff,Upset,Matchup
2019,2,3,Texas Tech,78,6,Buffalo,58,3,0,6-3
2019,2,4,Florida State,90,12,Murray St.,62,8,0,12-4
2019,1,12,Liberty,80,5,Mississippi State,76,-7,1,12-5
2019,1,2,Michigan,74,15,Montana,55,13,0,15-2
2019,1,2,Kentucky,79,15,Abilene Christian,44,13,0,15-2
2019,1,1,North Carolina,88,16,Iona,73,15,0,16-1
2019,1,2,Michigan State,76,15,Bradley,65,13,0,15-2
2019,1,11,Ohio State,62,6,Iowa State,59,-5,1,11-6
2019,1,1,Virginia,71,16,Gardner-Webb,56,15,0,16-1
2019,1,4,Florida State,76,13,Vermont,69,9,0,13-4
2019,1,1,Gonzaga,87,16,Fairleigh Dickinson,49,15,0,16-1
2019,1,1,Duke,85,16,North Dakota State,62,15,0,16-1
2019,1,4,Kansas,87,13,Northeastern,53,9,0,13-4
2019,1,6,Villanova,61,11,St. Mary's (Cal.),57,5,0,11-6
2019,1,4,Virginia Tech,66,13,St. Louis,52,9,0,13-4
2019,1,6,Maryland,79,11,Belmont,77,5,0,11-6
2019,1,13,UC Irvine,70,4,Kansas State,64,-9,1,13-4
2019,1,9,Baylor,78,8,Syracuse,69,-1,1,9-8
2019,1,2,Tennessee,77,15,Colgate,70,13,0,15-2
2019,1,10,Iowa,79,7,Cincinnati,72,-3,1,10-7
2019,1,5,Auburn,78,12,New Mexico State,77,7,0,12-5
2019,1,3,Purdue,61,14,Old Dominion,48,11,0,14-3
2019,1,10,Minnesota,86,7,Louisville,76,-3,1,10-7
2019,1,7,Wofford,84,10,Seton Hall,68,3,0,10-7
2019,1,9,Oklahoma,95,8,Mississippi,72,-1,1,9-8
2019,1,3,Houston,84,14,Georgia State,55,11,0,14-3
2019,1,6,Buffalo,91,11,Arizona State,74,5,0,11-6
2019,1,3,LSU,79,14,Yale,74,11,0,14-3
2019,1,12,Oregon,72,5,Wisconsin,54,-7,1,12-5
2019,1,3,Texas Tech,72,14,Northern Kentucky,57,11,0,14-3
2019,1,10,Florida,70,7,Nevada,61,-3,1,10-7
2019,1,12,Murray St.,83,5,Marquette,64,-7,1,12-5
2019,1,9,Washington,78,8,Utah State,61,-1,1,9-8
2019,1,9,Central Florida,73,8,Virginia Commonwealth,58,-1,1,9-8
2019,0,11,Belmont,81,11,Temple,70,0,0,11-11
2019,0,16,North Dakota State,78,16,North Carolina Central,74,0,0,16-16
2019,0,11,Arizona State,74,11,St. John's,65,0,0,11-11
2019,0,16,Fairleigh Dickinson,82,16,Prairie View,76,0,0,16-16
2018,6,1,Villanova,79,3,Michigan,62,2,0,3-1
2018,5,1,Villanova,95,1,Kansas,79,0,0,1-1
2018,5,3,Michigan,69,11,Loyola (Ill.),57,8,0,11-3
2018,4,3,Michigan,58,9,Florida State,54,6,0,9-3
2018,4,1,Kansas,85,2,Duke,81,1,0,2-1
2018,4,1,Villanova,71,3,Texas Tech,59,2,0,3-1
2018,4,11,Loyola (Ill.),78,9,Kansas State,62,-2,1,11-9
2018,3,3,Michigan,99,7,Texas A&M,72,4,0,7-3
2018,3,9,Florida State,75,4,Gonzaga,60,-5,1,9-4
2018,3,1,Kansas,80,5,Clemson,76,4,0,5-1
2018,3,1,Villanova,90,5,West Virginia,78,4,0,5-1
2018,3,9,Kansas State,61,5,Kentucky,58,-4,1,9-5
2018,3,2,Duke,69,11,Syracuse,65,9,0,11-2
2018,3,3,Texas Tech,78,2,Purdue,65,-1,1,3-2
2018,3,11,Loyola (Ill.),69,7,Nevada,68,-4,1,11-7
2018,2,5,Kentucky,95,13,Buffalo,75,8,0,13-5
2018,2,9,Florida State,75,1,Xavier,70,-8,1,9-1
2018,2,1,Kansas,83,8,Seton Hall,79,7,0,8-1
2018,2,1,Villanova,81,9,Alabama,58,8,0,9-1
2018,2,11,Syracuse,55,3,Michigan State,53,-8,1,11-3
2018,2,5,Clemson,84,4,Auburn,53,-1,1,5-4
2018,2,7,Texas A&M,86,2,North Carolina,65,-5,1,7-2
2018,2,3,Michigan,64,6,Houston,63,3,0,6-3
2018,2,7,Nevada,75,2,Cincinnati,73,-5,1,7-2
2018,2,3,Texas Tech,69,6,Florida,66,3,0,6-3
2018,2,4,Gonzaga,90,5,Ohio State,84,1,0,5-4
2018,2,2,Duke,87,7,Rhode Island,62,5,0,7-2
2018,2,9,Kansas State,50,16,Maryland-Baltimore County,43,7,0,16-9
2018,2,11,Loyola (Ill.),63,3,Tennessee,62,-8,1,11-3
2018,2,5,West Virginia,94,13,Marshall,71,8,0,13-5
2018,2,2,Purdue,76,10,Butler,73,8,0,10-2
2018,1,10,Butler,79,7,Arkansas,62,-3,1,10-7
2018,1,5,West Virginia,85,12,Murray St.,68,7,0,12-5
2018,1,3,Michigan,61,14,Montana,47,11,0,14-3
2018,1,5,Kentucky,78,12,Davidson,73,7,0,12-5
2018,1,2,North Carolina,84,15,Lipscomb,66,13,0,15-2
2018,1,3,Michigan State,82,14,Bucknell,78,11,0,14-3
2018,1,16,Maryland-Baltimore County,74,1,Virginia,54,-15,1,16-1
2018,1,13,Marshall,81,4,Wichita State,75,-9,1,13-4
2018,1,4,Gonzaga,68,13,UNC Greensboro,64,9,0,13-4
2018,1,2,Duke,89,15,Iona,67,13,0,15-2
2018,1,1,Kansas,76,16,Penn,60,15,0,16-1
2018,1,9,Kansas State,69,8,Creighton,59,-1,1,9-8
2018,1,6,TCU,57,11,Syracuse,52,5,0,11-6
2018,1,11,Loyola (Ill.),64,6,Miami (Fla.),62,-5,1,11-6
2018,1,13,Buffalo,89,4,Arizona,68,-9,1,13-4
2018,1,1,Villanova,87,16,Radford,61,15,0,16-1
2018,1,9,Alabama,86,8,Virginia Tech,83,-1,1,9-8
2018,1,5,Clemson,79,12,New Mexico State,68,7,0,12-5
2018,1,3,Tennessee,73,14,Wright State,47,11,0,14-3
2018,1,2,Cincinnati,68,15,Georgia State,53,13,0,15-2
2018,1,4,Auburn,62,13,College of Charleston,58,9,0,13-4
2018,1,2,Purdue,74,15,Cal State Fullerton,48,13,0,15-2
2018,1,7,Texas A&M,73,10,Providence,69,3,0,10-7
2018,1,1,Xavier,102,16,Texas Southern,83,15,0,16-1
2018,1,6,Houston,67,11,San Diego State,65,5,0,11-6
2018,1,7,Nevada,87,10,Texas,83,3,0,10-7
2018,1,9,Florida State,67,8,Missouri,54,-1,1,9-8
2018,1,6,Florida,77,11,St. Bonaventure,62,5,0,11-6
2018,1,5,Ohio State,81,12,South Dakota State,73,7,0,12-5
2018,1,3,Texas Tech,70,14,Stephen F. Austin,60,11,0,14-3
2018,1,8,Seton Hall,94,9,North Carolina State,83,1,0,9-8
2018,1,7,Rhode Island,83,10,Oklahoma,78,3,0,10-7
2018,0,11,St. Bonaventure,65,11,UCLA,58,0,0,11-11
2018,0,16,Radford,71,16,Long Island,61,0,0,16-16
2018,0,16,Texas Southern,64,16,North Carolina Central,46,0,0,16-16
2018,0,11,Syracuse,60,11,Arizona State,56,0,0,11-11
2017,6,1,North Carolina,71,1,Gonzaga,65,0,0,1-1
2017,5,1,Gonzaga,77,7,South Carolina,73,6,0,7-1
2017,5,1,North Carolina,77,3,Oregon,76,2,0,3-1
2017,4,1,North Carolina,75,2,Kentucky,73,1,0,2-1
2017,4,1,Gonzaga,83,11,Xavier,59,10,0,11-1
2017,4,3,Oregon,74,1,Kansas,60,-2,1,3-1
2017,4,7,South Carolina,77,4,Florida,70,-3,1,7-4
2017,3,1,North Carolina,92,4,Butler,80,3,0,4-1
2017,3,2,Kentucky,86,3,UCLA,75,1,0,3-2
2017,3,1,Gonzaga,61,4,West Virginia,58,3,0,4-1
2017,3,1,Kansas,98,4,Purdue,66,3,0,4-1
2017,3,7,South Carolina,70,3,Baylor,50,-4,1,7-3
2017,3,11,Xavier,73,2,Arizona,71,-9,1,11-2
2017,3,3,Oregon,69,7,Michigan,68,4,0,7-3
2017,3,4,Florida,84,8,Wisconsin,83,4,0,8-4
2017,2,7,Michigan,73,2,Louisville,69,-5,1,7-2
2017,2,4,West Virginia,83,5,Notre Dame,71,1,0,5-4
2017,2,1,North Carolina,72,8,Arkansas,65,7,0,8-1
2017,2,4,Purdue,80,5,Iowa State,76,1,0,5-4
2017,2,4,Florida,65,5,Virginia,39,1,0,5-4
2017,2,2,Kentucky,65,10,Wichita State,62,8,0,10-2
2017,2,1,Gonzaga,79,8,Northwestern,73,7,0,8-1
2017,2,1,Kansas,90,9,Michigan State,70,8,0,9-1
2017,2,2,Arizona,69,7,St. Mary's (Cal.),60,5,0,7-2
2017,2,8,Wisconsin,65,1,Villanova,62,-7,1,8-1
2017,2,7,South Carolina,88,2,Duke,81,-5,1,7-2
2017,2,3,UCLA,79,6,Cincinnati,67,3,0,6-3
2017,2,11,Xavier,91,3,Florida State,66,-8,1,11-3
2017,2,4,Butler,74,12,Middle Tennessee State,65,8,0,12-4
2017,2,3,Baylor,82,11,Southern California,78,8,0,11-3
2017,2,3,Oregon,75,11,Rhode Island,72,8,0,11-3
2017,1,8,Arkansas,77,9,Seton Hall,71,1,0,9-8
2017,1,4,West Virginia,86,13,Bucknell,80,9,0,13-4
2017,1,7,Michigan,92,10,Oklahoma State,91,3,0,10-7
2017,1,11,Xavier,76,6,Maryland,65,-5,1,11-6
2017,1,5,Notre Dame,60,12,Princeton,58,7,0,12-5
2017,1,2,Kentucky,79,15,Northern Kentucky,70,13,0,15-2
2017,1,1,North Carolina,103,16,Texas Southern,64,15,0,16-1
2017,1,3,UCLA,97,14,Kent State,80,11,0,14-3
2017,1,5,Iowa State,84,12,Nevada,73,7,0,12-5
2017,1,5,Virginia,76,12,UNC Wilmington,71,7,0,12-5
2017,1,3,Florida State,86,14,Florida Gulf Coast,80,11,0,14-3
2017,1,1,Gonzaga,66,16,South Dakota State,46,15,0,16-1
2017,1,2,Duke,87,15,Troy,65,13,0,15-2
2017,1,1,Kansas,100,16,UC Davis,62,15,0,16-1
2017,1,11,Rhode Island,84,6,Creighton,72,-5,1,11-6
2017,1,9,Michigan State,78,8,Miami (Fla.),58,-1,1,9-8
2017,1,2,Arizona,100,15,North Dakota,82,13,0,15-2
2017,1,7,St. Mary's (Cal.),85,10,Virginia Commonwealth,77,3,0,10-7
2017,1,1,Villanova,76,16,Mount St. Mary's,56,15,0,16-1
2017,1,3,Baylor,91,14,New Mexico State,73,11,0,14-3
2017,1,2,Louisville,78,15,Jacksonville State,63,13,0,15-2
2017,1,7,South Carolina,93,10,Marquette,73,3,0,10-7
2017,1,6,Cincinnati,75,11,Kansas State,61,5,0,11-6
2017,1,4,Purdue,80,13,Vermont,70,9,0,13-4
2017,1,3,Oregon,93,14,Iona,77,11,0,14-3
2017,1,4,Florida,80,13,East Tennessee State,65,9,0,13-4
2017,1,10,Wichita State,64,7,Dayton,58,-3,1,10-7
2017,1,12,Middle Tennessee State,81,5,Minnesota,72,-7,1,12-5
2017,1,4,Butler,76,13,Winthrop,64,9,0,13-4
2017,1,8,Wisconsin,84,9,Virginia Tech,74,1,0,9-8
2017,1,11,Southern California,66,6,Southern Methodist,65,-5,1,11-6
2017,1,8,Northwestern,68,9,Vanderbilt,66,1,0,9-8
2017,0,11,Kansas State,95,11,Wake Forest,88,0,0,11-11
2017,0,11,Southern California,75,11,Providence,71,0,0,11-11
2017,0,16,Mount St. Mary's,67,16,New Orleans,66,0,0,16-16
2017,0,16,UC Davis,67,16,North Carolina Central,63,0,0,16-16
2016,6,2,Villanova,77,1,North Carolina,74,-1,1,2-1
2016,5,1,North Carolina,83,10,Syracuse,66,9,0,10-1
2016,5,2,Villanova,95,2,Oklahoma,51,0,0,2-2
2016,4,1,North Carolina,88,6,Notre Dame,74,5,0,6-1
2016,4,10,Syracuse,68,1,Virginia,62,-9,1,10-1
2016,4,2,Villanova,64,1,Kansas,59,-1,1,2-1
2016,4,2,Oklahoma,80,1,Oregon,68,-1,1,2-1
2016,3,6,Notre Dame,61,7,Wisconsin,56,1,0,7-6
2016,3,1,North Carolina,101,5,Indiana,86,4,0,5-1
2016,3,1,Virginia,84,4,Iowa State,71,3,0,4-1
2016,3,10,Syracuse,63,11,Gonzaga,60,1,0,11-10
2016,3,1,Kansas,79,5,Maryland,63,4,0,5-1
2016,3,2,Villanova,92,3,Miami (Fla.),69,1,0,3-2
2016,3,2,Oklahoma,77,3,Texas A&M,63,1,0,3-2
2016,3,1,Oregon,82,4,Duke,68,3,0,4-1
2016,2,5,Maryland,73,13,Hawaii,60,8,0,13-5
2016,2,6,Notre Dame,76,14,Stephen F. Austin,75,8,0,14-6
2016,2,1,North Carolina,85,9,Providence,66,8,0,9-1
2016,2,5,Indiana,73,4,Kentucky,67,-1,1,5-4
2016,2,1,Virginia,77,9,Butler,69,8,0,9-1
2016,2,3,Miami (Fla.),65,11,Wichita State,57,8,0,11-3
2016,2,11,Gonzaga,82,3,Utah,59,-8,1,11-3
2016,2,1,Kansas,73,9,Connecticut,61,8,0,9-1
2016,2,2,Villanova,87,7,Iowa,68,5,0,7-2
2016,2,2,Oklahoma,85,10,Virginia Commonwealth,81,8,0,10-2
2016,2,10,Syracuse,75,15,Middle Tennessee State,50,5,0,15-10
2016,2,3,Texas A&M,92,11,Northern Iowa,88,8,0,11-3
2016,2,7,Wisconsin,66,2,Xavier,63,-5,1,7-2
2016,2,1,Oregon,69,8,St. Joseph's,64,7,0,8-1
2016,2,4,Duke,71,12,Yale,64,8,0,12-4
2016,2,4,Iowa State,78,12,Arkansas-Little Rock,61,8,0,12-4
2016,1,14,Stephen F. Austin,70,3,West Virginia,56,-11,1,14-3
2016,1,5,Maryland,79,12,South Dakota State,74,7,0,12-5
2016,1,6,Notre Dame,70,11,Michigan,63,5,0,11-6
2016,1,4,Kentucky,85,13,Stony Brook,57,9,0,13-4
2016,1,1,North Carolina,83,16,Florida Gulf Coast,67,15,0,16-1
2016,1,15,Middle Tennessee State,90,2,Michigan State,81,-13,1,15-2
2016,1,5,Indiana,99,12,Chattanooga,74,7,0,12-5
2016,1,4,Iowa State,94,13,Iona,81,9,0,13-4
2016,1,1,Virginia,81,16,Hampton,45,15,0,16-1
2016,1,10,Virginia Commonwealth,75,7,Oregon State,67,-3,1,10-7
2016,1,11,Northern Iowa,75,6,Texas,72,-5,1,11-6
2016,1,4,Duke,93,13,UNC Wilmington,85,9,0,13-4
2016,1,1,Kansas,105,16,Austin Peay,79,15,0,16-1
2016,1,7,Wisconsin,47,10,Pittsburgh,43,3,0,10-7
2016,1,3,Miami (Fla.),79,14,Buffalo,72,11,0,14-3
2016,1,11,Wichita State,65,6,Arizona,55,-5,1,11-6
2016,1,2,Villanova,86,15,UNC Asheville,56,13,0,15-2
2016,1,2,Oklahoma,82,15,Cal State Bakersfield,68,13,0,15-2
2016,1,9,Connecticut,74,8,Colorado,67,-1,1,9-8
2016,1,12,Arkansas-Little Rock,85,5,Purdue,83,-7,1,12-5
2016,1,3,Texas A&M,92,14,Green Bay,65,11,0,14-3
2016,1,2,Xavier,71,15,Weber State,53,13,0,15-2
2016,1,9,Butler,71,8,Texas Tech,61,-1,1,9-8
2016,1,7,Iowa,72,10,Temple,70,3,0,10-7
2016,1,1,Oregon,91,16,Holy Cross,52,15,0,16-1
2016,1,8,St. Joseph's,78,9,Cincinnati,76,1,0,9-8
2016,1,3,Utah,80,14,Fresno State,69,11,0,14-3
2016,1,13,Hawaii,77,4,UC Berkeley,66,-9,1,13-4
2016,1,9,Providence,70,8,Southern California,69,-1,1,9-8
2016,1,10,Syracuse,70,7,Dayton,51,-3,1,10-7
2016,1,12,Yale,79,5,Baylor,75,-7,1,12-5
2016,1,11,Gonzaga,68,6,Seton Hall,52,-5,1,11-6
2016,0,11,Wichita State,70,11,Vanderbilt,50,0,0,11-11
2016,0,11,Michigan,67,11,Tulsa,62,0,0,11-11
2016,0,16,Holy Cross,59,16,Southern,55,0,0,16-16
2016,0,16,Florida Gulf Coast,96,16,Fairleigh Dickinson,65,0,0,16-16
2015,6,1,Duke,68,1,Wisconsin,63,0,0,1-1
2015,5,1,Wisconsin,71,1,Kentucky,64,0,0,1-1
2015,5,1,Duke,81,7,Michigan State,61,6,0,7-1
2015,4,1,Wisconsin,85,2,Arizona,78,1,0,2-1
2015,4,1,Kentucky,68,3,Notre Dame,66,2,0,3-1
2015,4,7,Michigan State,76,4,Louisville,70,-3,1,7-4
2015,4,1,Duke,66,2,Gonzaga,52,1,0,2-1
2015,3,1,Wisconsin,79,4,North Carolina,72,3,0,4-1
2015,3,3,Notre Dame,81,7,Wichita State,70,4,0,7-3
2015,3,1,Kentucky,78,5,West Virginia,39,4,0,5-1
2015,3,2,Gonzaga,74,11,UCLA,62,9,0,11-2
2015,3,1,Duke,63,5,Utah,57,4,0,5-1
2015,3,7,Michigan State,62,3,Oklahoma,58,-4,1,7-3
2015,3,4,Louisville,75,8,North Carolina State,65,4,0,8-4
2015,3,2,Arizona,68,6,Xavier,60,4,0,6-2
2015,2,4,North Carolina,87,5,Arkansas,78,1,0,5-4
2015,2,1,Wisconsin,72,8,Oregon,65,7,0,8-1
2015,2,5,West Virginia,69,4,Maryland,59,-1,1,5-4
2015,2,1,Kentucky,64,8,Cincinnati,51,7,0,8-1
2015,2,7,Michigan State,60,2,Virginia,54,-5,1,7-2
2015,2,11,UCLA,92,14,Alabama-Birmingham,75,3,0,14-11
2015,2,7,Wichita State,78,2,Kansas,65,-5,1,7-2
2015,2,2,Arizona,73,10,Ohio State,58,8,0,10-2
2015,2,1,Duke,68,8,San Diego State,49,7,0,8-1
2015,2,8,North Carolina State,71,1,Villanova,68,-7,1,8-1
2015,2,4,Louisville,66,5,Northern Iowa,53,1,0,5-4
2015,2,6,Xavier,75,14,Georgia State,67,8,0,14-6
2015,2,2,Gonzaga,87,7,Iowa,68,5,0,7-2
2015,2,5,Utah,75,4,Georgetown,64,-1,1,5-4
2015,2,3,Oklahoma,72,11,Dayton,66,8,0,11-3
2015,2,3,Notre Dame,67,6,Butler,64,3,0,6-3
2015,1,5,Arkansas,56,12,Wofford,53,7,0,12-5
2015,1,1,Wisconsin,86,16,Coastal Carolina,72,15,0,16-1
2015,1,4,Maryland,65,13,Valparaiso,62,9,0,13-4
